Commune;lieu-dit;TR/FEN;N° enclos;N° Sep;type sép;Type de fosse et dépôt funéraire;Profil;Recoupement;Localisation vase ossuaire dans dépôt ;Position corps;Décomposition;Couverture;Position céramique;Posiiton métal;NR;comptage pondéré/ NMI;poids ceram.;Vase ossuaire;Offrande primaire;Offande secondaire;Vase ext. Ossuraire;Résidus;Offrande lacunaire;Pot;Couvercle;Gobelet;Coupe;Tasse;Ecuelle;Jatte;Assiette;Vase miniature/microvase;Autre;Intrusif céram;Lithique;AC Epingle;AC Fibule;AC Perle;AC Pendeloque;AC Boucle d'oreille;AC Tige;AC Tube;AC Ruban;AC Anneau;AC Bracelet;AC Anneau de jambe;AC Brassard;Fer Brassard;Roche noire Brassard;AC Ceinture autre;AC Crochet ceinture;AC plaque ceinture;Fer crochet ceinture;AC Torque;Fer Epingle;Fer Trousse;AC Trousse;Fer Bracelet;Fer Anneau;Fer Fibule;Fer indéterminé;Fer Rasoir;AC Rasoir;Fer Spire;Fer Passe-lacet;Au Epingle;Au Anneau;Roche noire Bracelet;Roche noire Perle;Ambre Perle;Verre Perle;Corail Perle ;Corail autre;Os Dent perforée/pendeloque;AC Vaisselle;Fer Char;AC Harnachement;Fer épée/poignard;Fer lance;Fer Bouclier;Fer couteau;Composite Collier;Composite Epingle;Fer Pendeloque;NMI anthropo;chrono;Genre;Remarques;Coordonnées x (Lambert 93);Coordonnées y (Lambert 93)
Woippy;Zac des Chiloux;;;;inhumation;Tombe à double coffrage;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1.0;1.0;;;;1.0;;;;1;Ha D3;Féminin;"2 Cabochons en alliages cuivreux ; bandage de roue en fer ; couteau en fer ; tombe à char à double coffrages en bois et tumulus";929861.0;6899179.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;188;inhumation;;;;;sur le dos;espace vide;;;bras droit;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;LT A;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;191;inhumation;;;;;sur le dos;espace colmaté;;;niveau du cou;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;Ha D-LT A ?;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;195;inhumation;;;;;sur le dos;contenant rigide;;;bras droit et gauche, au niveau du cou;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;1;Ha D1;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;198;inhumation;;;;;sur le dos;contenant rigide;;sur les membres inférieurs;bras et gauche;8;8;;;;;;;;;;;1;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Ha C1;Féminin;service céramique unique dans la nécropole (daté typologiquement du Ha C1) : - une coupelle tronconique à lèvre biseautée et panse galbée (vase 1), un grand gobelet à panse globulaire et lèvre éversée amincie (vase 2),une coupe hémisphérique basse (vase 3), un petit bol à panse galbée et fond en cupule (vase 4),un bol à panse galbée et fond plat (vase 5), un micro-vase de type bol hémisphérique (vase 6), contenu dans le vase 2.;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;204;inhumation;;;;;sur le dos;espace vide;;;bras droit et gauche;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;Ha C-D1;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;271;inhumation;;;;;sur le dos;contenant rigide;;;bras droit et gauche;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;Ha D1;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;274.1;inhumation;;;;;position latérale gauche, imbriquée avec un autre squelette;espace vide;;;bras droit et gauche;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Ha D1;Féminin;Paire de bracelets en bronze et fer, dont la typologie pourrait plutôt renvoyer vers la Lorraine/Champagne;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;400;inhumation;;;;;sur le ventre;espace vide;;;bras droit et gauche,au niveau du crâne, face postérieure du fémur;9;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;1;Ha D1;Féminin;"Atteinte de tuberculose, enceinte, grande stature ; assemblage complexe : bracelets, boucles d'oreille, anneaux de fermeture de vêtement ?";1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;401;inhumation;;;;;sur le dos;espace vide ?;;droite de la tête;Bras gauche;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Ha C2-D1;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;408;inhumation;;;;;sur le dos;espace vide;;;niveau du cou;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;Ha D1;Féminin;Perle en terre cuite imitant le lignite;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;199;inhumation;;;;;sur le dos;;;;bras droit et gauche;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Ha C-D;Féminin;;1038067.0;6834890.0
Duttlenheim;Site 1.3 - Ampfad et Neustrasse;;;413;inhumation;;;;;sur le dos;espace vide;;;bras droit;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;Ha D-LT A;Féminin;Ha D1 ou LTA1;1038067.0;6834890.0
Sainte-Croix-en-Plaine;Ancien échangeur;;E27;91;inhumation;Fosse subcirculaire avec vase;Parois verticales fond en cuvette;;Perturbée;;;;;;50;8;291;;;;;;;1;;;;;1;;;;4;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Protohistoire indéterminé;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;HE;38;inhumation;Fosse circulaire et vase ossuaire;Parois évasées fond en cuvette;;Perturbée;;;;;;70;5;672;x;;;;;;1;?;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF IIIb-Ha C;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;HE;85;inhumation;Fosse circulaire et vase ossuaire;Parois évasées fond plat;;En position centrale;;;;;;197;2;2105;x;;;;;;1;x;;1;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ha C;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;HE;52;inhumation;Fosse ovale sans vase ;Parois évasées fond plat;;;;;;;;3;0;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Protohistoire indéterminé;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;E4;88;inhumation;Fosse ovale et vase ossuaire;Parois évasées fond en cuvette;;Fosse quasiment ajustée au vase;;;;;;148;16;1454;x;6;;;;;2;x;;;;;;1;5;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF IIIa;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;HE;83;inhumation;Fosse subquadrangulaire avec vase;Parois évasées fond plat;;En position centrale;;;;;;31;1;399;;;;;?;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BF IIIb-Ha C;Féminin;;1026322.0;6777079.0
Sainte-Croix-en-Plaine;Ancien échangeur;;HE;55;inhumation;Fosse quadrangulaire sans vase;Parois évasées fond en sac;;;;;;;;3;1;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Protohistoire indéterminé;Féminin;;1026322.0;6777079.0
